"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"The Palaeoecology of White Pine (Pinus Strobus) in Minnesota","Pitch Pine (Pinus rigida Mill.): Ecology, Physiology, and Genetics","CULTIVATION OF PINUS STROBUS ROOT-HYPOCOTYL EXPLANTS FOR SYNTHESIS OF ECTOMYCORRHIZAE","Dendrochronology of bristlecone pine, Pinus longaeva","Isolation and Callus Formation from Cotyledon Protoplasts of Pine (Pinus pinaster)","The Palaeoecology of White Pine (Pinus Strobus) in Minnesota","Pitch Pine (Pinus rigida Mill.): Ecology, Physiology, and Genetics","CULTIVATION OF PINUS STROBUS ROOT-HYPOCOTYL EXPLANTS FOR SYNTHESIS OF ECTOMYCORRHIZAE","Dendrochronology of bristlecone pine, Pinus longaeva"
"Late Quaternary Vegetational History of Illinois","Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota","Late-Pleistocene Vegetational Changes in Northeastern North Carolina","Late quaternary history of Lake Manitoba, Canada","Late quaternary floodplain sedimentation along the Pomme de Terre River, southern Missouri","Late Quaternary Vegetational History of Illinois","Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota","Late-Pleistocene Vegetational Changes in Northeastern North Carolina","Late quaternary history of Lake Manitoba, Canada"
"Pollen Analysis of a Central Texas Bog","Bog Vegetation Re-Mapped after Sixty Years, Studies on Skagershultamossen, Central Sweden","Sclerocarpus uniserialis (Compositae) in Texas and Central America","Cation-Exchange Capacity and Galacturonic Acid Content of Several Species of Sphagnum in Sandy Ridge Bog, Central New York State","Distribution of the Pygmy Mouse, Baiomys taylori, in North-Central Texas","Pollen Analysis of a Central Texas Bog","Bog Vegetation Re-Mapped after Sixty Years, Studies on Skagershultamossen, Central Sweden","Sclerocarpus uniserialis (Compositae) in Texas and Central America","Cation-Exchange Capacity and Galacturonic Acid Content of Several Species of Sphagnum in Sandy Ridge Bog, Central New York State"
"Paleovegetational Reconstruction Based on Modern and Fossil Pollen Data: An Application of Discriminant Analysis"," A fossil pollen based reconstruction of the late Quaternary history of lodgepole pine ( Pinus contorta ssp. latifolia ) in the western interior of Canada ","Quantitative interpretation of fossil pollen spectra: Dissimilarity coefficients and the method of modern analogs","Selecting risk factors: A comparison of discriminant analysis, logistic regression and cox's regression model using data from the tromsø heart study","Application of combined thermal analysis - mass spectrometry in the analysis of fossil fuels and polymers","Paleovegetational Reconstruction Based on Modern and Fossil Pollen Data: An Application of Discriminant Analysis"," A fossil pollen based reconstruction of the late Quaternary history of lodgepole pine ( Pinus contorta ssp. latifolia ) in the western interior of Canada ","Quantitative interpretation of fossil pollen spectra: Dissimilarity coefficients and the method of modern analogs","Selecting risk factors: A comparison of discriminant analysis, logistic regression and cox's regression model using data from the tromsø heart study"
"Postglacial Vegetational History of the Eastern Avalon Peninsula, Newfoundland, and Holocene Climatic Change Along the Eastern Canadian Seaboard","Paleomagnetism of mafic dikes from the Avalon Peninsula, eastern Newfoundland","Holocene vegetation and climatic change in the Peace River district, Canada","Vegetation of eastern Melville island and Dundas peninsula, District of Franklin, maps","Some Potentially Important Indigenous Aromatic Plants for the Eastern Seaboard Areas of Southern Africa","Postglacial Vegetational History of the Eastern Avalon Peninsula, Newfoundland, and Holocene Climatic Change Along the Eastern Canadian Seaboard","Paleomagnetism of mafic dikes from the Avalon Peninsula, eastern Newfoundland","Holocene vegetation and climatic change in the Peace River district, Canada","Vegetation of eastern Melville island and Dundas peninsula, District of Franklin, maps"
"Late Glacial and Postglacial Productivity Changes in a New England Pond","Saladin","Nasser's Egypt R. Hrair Dekmejian: Egypt Under Nasir: A Study in Political Dynamics. (Albany: State University of New York Press, 1971. Pp. xviii, 368. $10.00.)","Donne at Sermons: A Christian Existential World. By Gale H. Carrithers Jr. Albany: State University of New York Press, 1972. x + 319 pp. $10.00.","SelectedWorksofNikolaiS. Gumilev: Selected and translated by Burton Raffel and Alla Burago, Introduction by Sidney Monas, Albany: State University of New York Press, 1972. 248 pp. $10.00.","Late Glacial and Postglacial Productivity Changes in a New England Pond","Saladin","Nasser's Egypt R. Hrair Dekmejian: Egypt Under Nasir: A Study in Political Dynamics. (Albany: State University of New York Press, 1971. Pp. xviii, 368. $10.00.)","Donne at Sermons: A Christian Existential World. By Gale H. Carrithers Jr. Albany: State University of New York Press, 1972. x + 319 pp. $10.00."
"Origin and Geochemical Correlation of Near-Surface Oil and Asphaltite Deposits of Southeastern Oklahoma: ABSTRACT","Flood studies report: five years on.","Adsorption (co-precipitation) of trace metals at natural concentrations on hydrous ferric oxide in lake water samples","Field Efficacy of Acaricides for Control of the Lone Star Tick on Cattle in Southeastern Oklahoma","Paleomagnetism of Sediment Cores from Cedarburg Bog, Wisconsin, and a Comparison with Cores from Lake Michigan","Origin and Geochemical Correlation of Near-Surface Oil and Asphaltite Deposits of Southeastern Oklahoma: ABSTRACT","Flood studies report: five years on.","Adsorption (co-precipitation) of trace metals at natural concentrations on hydrous ferric oxide in lake water samples","Field Efficacy of Acaricides for Control of the Lone Star Tick on Cattle in Southeastern Oklahoma"
"Holocene vegetation and climatic history of Prince Edward Island, Canada","65th Annual Meeting The Potato Association of America August 2–7, 1981 University of Prince Edward Island Charlottetown, Prince Edward Island Canada","Tourist Air Exit Survey: Prince Edward Island 1978. Department of Tourism, Parks and Conservation, P.O. Box 2000, Charlottetown, Prince Edward Island, Canada C1A 7N8. February 1979. Various paging","African environmental and climatic changes and the general atmospheric circulation in late pleistocene and holocene","Crown and Commonwealth: a Study in the Official Elizabethan Doctrine of the Prince. By Edward O. Smith Jr, (Transactions of the American Philosophical Society, New Series 66, 8.) Pp. 52. Philadelphia: The American Philosophical Society, 1976. $6.00.","Holocene vegetation and climatic history of Prince Edward Island, Canada","65th Annual Meeting The Potato Association of America August 2–7, 1981 University of Prince Edward Island Charlottetown, Prince Edward Island Canada","Tourist Air Exit Survey: Prince Edward Island 1978. Department of Tourism, Parks and Conservation, P.O. Box 2000, Charlottetown, Prince Edward Island, Canada C1A 7N8. February 1979. Various paging","African environmental and climatic changes and the general atmospheric circulation in late pleistocene and holocene"
"FROZEN BEACH RIDGE SOILS IN THE HUDSON BAY LOWLAND, ONTARIO","Sea ice diatoms from Manitounuk Sound, southeastern Hudson Bay (Quebec, Canada). I. Family Naviculaceae","A fossil pollen diagram from the Toba highlands of North Sumatra and its relevance to cultural history","Selections from English Wycliffite Writings. Edited by Anne Hudson. Pp. xii + 234. Cambridge University Press, 1981. Reprint of 1978 edn. £7.95 (paper).","Sea ice diatoms from Manitounuk Sound, southeastern Hudson Bay (Quebec, Canada). : II. Naviculaceae, genus <i>Navicula</i>","FROZEN BEACH RIDGE SOILS IN THE HUDSON BAY LOWLAND, ONTARIO","Sea ice diatoms from Manitounuk Sound, southeastern Hudson Bay (Quebec, Canada). I. Family Naviculaceae","A fossil pollen diagram from the Toba highlands of North Sumatra and its relevance to cultural history","Selections from English Wycliffite Writings. Edited by Anne Hudson. Pp. xii + 234. Cambridge University Press, 1981. Reprint of 1978 edn. £7.95 (paper)."
"A Late-Quaternary pollen profile from Woodstock, Ontario","Comparative 210Pb, 137Cs, and pollen geochronologies of sediments from Lakes Ontario and Erie","Trend surface analysis of major late Wisconsinan till sheets, Brantford–Woodstock area, southern Ontario","Late Quaternary pollen record from the Sanpoil River Valley, Washington","Late Quaternary Pollen Record from Big Meadow, Pend Oreille County, Washington","A Late-Quaternary pollen profile from Woodstock, Ontario","Comparative 210Pb, 137Cs, and pollen geochronologies of sediments from Lakes Ontario and Erie","Trend surface analysis of major late Wisconsinan till sheets, Brantford–Woodstock area, southern Ontario","Late Quaternary pollen record from the Sanpoil River Valley, Washington"
"Late Quaternary Vegetational History of Grays Lake, Idaho","Artifacts or Attributes? Effects of Resolution on the Little Rock Lake Food Web","The Late Quaternary vegetational and climatic history of Easter Island","Aggregation and Coexistence in a Carrion Fly Community","Designing Environmental Field Studies","Late Quaternary Vegetational History of Grays Lake, Idaho","Artifacts or Attributes? Effects of Resolution on the Little Rock Lake Food Web","The Late Quaternary vegetational and climatic history of Easter Island","Aggregation and Coexistence in a Carrion Fly Community"
"Palynological studies in central Saskatchewan","Redeposition of pollen grains in lake sediment","Historical evidence of land use in a pollen profile from Osoyoos Lake, British Columbia","Isotopic Studies of Ore-Leads in the Hanson Lake – Flin Flon – Snow Lake Mineral Belt, Saskatchewan and Manitoba: Discussion","Isotopic Studies of Ore-Leads in the Hanson Lake – Flin Flon – Snow Lake Mineral Belt, Saskatchewan and Manitoba: Reply","Palynological studies in central Saskatchewan","Redeposition of pollen grains in lake sediment","Historical evidence of land use in a pollen profile from Osoyoos Lake, British Columbia","Isotopic Studies of Ore-Leads in the Hanson Lake – Flin Flon – Snow Lake Mineral Belt, Saskatchewan and Manitoba: Discussion"
"Palynological Studies of Lake Sediment Profiles from Southwestern New Brunswick","Palynological Study of Lake Sediment Profiles from Southwestern New Brunswick: Discussion","Geology, Tuadook Lake, New Brunswick","Geology of the Tuadook Lake map-area, New Brunswick [21J/15]","Palynological studies of peat monoliths from L'Anse aux Meadows Norse site, Newfoundland","Palynological Studies of Lake Sediment Profiles from Southwestern New Brunswick","Palynological Study of Lake Sediment Profiles from Southwestern New Brunswick: Discussion","Geology, Tuadook Lake, New Brunswick","Geology of the Tuadook Lake map-area, New Brunswick [21J/15]"
"A Century of Lutherans in Ohio. By Willard D. Allbeck. Yellow Springs, Ohio: The Antioch Press, 1966. 309 pp. $6.00.","A Century of Lutherans in Ohio. By Willard D. Allbeck. Yellow Springs, Ohio: The Antioch Press, 1966. 309 pp. $6.00.","The Development of American Commercial Banking, 1782–1837. By J. Van Fenstermaker. Kent, Ohio, Bureau of Economic and Business Research, Kent State University, 1965. Pp. xiv + 247. $5.00.","America, Russia, Hemp, and Napoleon: American Trade with Russia and the Baltic, 1783–1812. By Alfred W. Crosby Jr., Columbus, Ohio State University Press, 1965. Pp. vii + 320. $6.50.","A Reassessment of the Herpetofauna of Navassa Island","A Century of Lutherans in Ohio. By Willard D. Allbeck. Yellow Springs, Ohio: The Antioch Press, 1966. 309 pp. $6.00.","A Century of Lutherans in Ohio. By Willard D. Allbeck. Yellow Springs, Ohio: The Antioch Press, 1966. 309 pp. $6.00.","The Development of American Commercial Banking, 1782–1837. By J. Van Fenstermaker. Kent, Ohio, Bureau of Economic and Business Research, Kent State University, 1965. Pp. xiv + 247. $5.00.","America, Russia, Hemp, and Napoleon: American Trade with Russia and the Baltic, 1783–1812. By Alfred W. Crosby Jr., Columbus, Ohio State University Press, 1965. Pp. vii + 320. $6.50."
"Pollen stratigraphy of holocene sediments from the grand rapids area, Manitoba, Canada","Mollusca and Foraminiferida of Pleistocene and Holocene Sediments in eastern Canada","Contemporary Pollen Spectra From the eastern James Bay Area, Quebec","Note on pollen extraction from coarse sediments","Some Holocene pollen diagrams from Greece","Pollen stratigraphy of holocene sediments from the grand rapids area, Manitoba, Canada","Mollusca and Foraminiferida of Pleistocene and Holocene Sediments in eastern Canada","Contemporary Pollen Spectra From the eastern James Bay Area, Quebec","Note on pollen extraction from coarse sediments"
"CONTRIBUTIONS TO THE HOLOCENE PALEOECOLOGY OF WESTCENTRAL CANADA: I. THE RIDING MOUNTAIN AREA","CONTRIBUTIONS TO THE HOLOCENE PALEOECOLOGY OF WESTCENTRAL CANADA: A LATE-GLACIAL DEPOSIT FROM THE MISSOURI COTEAU","Contributions of Marius Barbeau to West Coast Ethnology","Walmsley Lake West, District of Mackenzie, Northwest Territories","A Role for Canada in the West Indies","CONTRIBUTIONS TO THE HOLOCENE PALEOECOLOGY OF WESTCENTRAL CANADA: I. THE RIDING MOUNTAIN AREA","CONTRIBUTIONS TO THE HOLOCENE PALEOECOLOGY OF WESTCENTRAL CANADA: A LATE-GLACIAL DEPOSIT FROM THE MISSOURI COTEAU","Contributions of Marius Barbeau to West Coast Ethnology","Walmsley Lake West, District of Mackenzie, Northwest Territories"
"Absolute pollen frequencies and carbon-14 age of a section of Holocene Lake sediment from the Riding Mountain area of Manitoba","Quaternary Geology of the Duck Mountain Area, Manitoba","Hecla - Carroll Lake map Area, Manitoba - Ontario","Duck Mountain, Manitoba","Dauphin Lake, Manitoba","Absolute pollen frequencies and carbon-14 age of a section of Holocene Lake sediment from the Riding Mountain area of Manitoba","Quaternary Geology of the Duck Mountain Area, Manitoba","Hecla - Carroll Lake map Area, Manitoba - Ontario","Duck Mountain, Manitoba"
